id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
70820,City View - Sarah's double room.,360195,Sarah,Windmill Hill,51.43994,-2.59173,Private room,36,1,160,25/8/2021,1.61,5,23
117122,City Centre-Waterside Retreat,591555,Marcus,Clifton,51.45051,-2.61054,Private room,96,1,154,21/11/2021,1.21,1,357
176306,The White Room -  Central Bristol Art House Garden,708175,Orla,Bedminster,51.44101,-2.60121,Private room,29,21,39,28/8/2020,0.35,1,51
307634,Peaceful Safe Home & Clear Space 'The Lilac Room',1582810,Wendy,Easton,51.46641,-2.55533,Private room,50,3,23,28/11/2021,0.41,2,172
322906,HUGE Room CENTRAL location House,1156132,Sue And Toby,Ashley,51.46668,-2.58274,Private room,86,1,81,21/11/2021,0.78,3,76
341227,Listed Georgian house in the heart of Bristol.,237360,Samantha,Ashley,51.46661,-2.58709,Entire home/apt,536,2,98,21/11/2021,0.83,1,349
390781,"Cosy large room nr TV studios, Paintworks & stores",1954565,Fiona,Brislington West,51.44429,-2.55777,Private room,30,2,44,17/12/2021,0.37,2,13
399681,Historic Trym House - five star!,1941316,Kevin & Lesley,Westbury-on-Trym & Henleaze,51.49508,-2.61715,Private room,80,2,76,27/11/2021,0.66,1,140
407485,Bristol Luxury Garden Apartment,2029719,Ingrid,Ashley,51.46941,-2.58166,Entire home/apt,93,2,275,18/12/2021,2.34,1,304
421205,The dog lovers haven,2094659,Lis,Ashley,51.46547,-2.58458,Private room,26,1,169,7/11/2021,1.47,1,250
422956,Modern inner city 3 bed eco house,2103297,Lois,Redland,51.47331,-2.60598,Entire home/apt,220,2,358,19/12/2021,3.05,2,238
554813,Central Double Room With Your Own Bathroom,2727252,Rich & Ray,Lawrence Hill,51.45591,-2.57803,Private room,51,1,191,27/11/2021,1.65,1,7
753655,Edwardian house in central Bristol,3647954,Cath,Southville,51.44553,-2.60413,Private room,54,2,272,5/10/2021,2.49,3,351
758894,"Clifton Village, superfast internet, car permits",3996407,Joanna,Clifton,51.45524,-2.62168,Entire home/apt,170,3,419,14/12/2021,3.78,1,329
868888,Large double room with breakfast,4577089,Rohan,Eastville,51.47305,-2.54617,Private room,30,7,9,1/3/2020,0.2,2,237
870076,Cosy Single Bedroom in Southville,3647954,Cath,Southville,51.44593,-2.60309,Private room,39,1,159,18/3/2020,1.48,3,12
942226,BnB in Barn with 2 ensuite Bedrooms,2103297,Lois,Redland,51.47513,-2.60474,Entire home/apt,141,2,274,28/11/2021,2.66,2,270
975170,Double room in quiet LGBTQIA+ friendly home,5332833,Ashley,Eastville,51.48256,-2.5546,Private room,32,3,98,18/9/2021,0.92,2,1
979236,large ensuite with seating area,1156132,Sue And Toby,Ashley,51.46665,-2.58284,Private room,73,1,168,21/11/2021,1.75,3,74
995235,Clifton Towers Bristol B and B,5466703,Marie,Clifton,51.45308,-2.61544,Private room,56,1,305,1/11/2021,3.08,1,268
1033484,Tranquil Room near City Centre,5687726,Joanne,Ashley,51.46307,-2.57982,Private room,37,2,324,20/12/2021,3.06,2,68
1096853,"Lovely quiet, clean, Double Bed+Single, with tv",487598,Maggie,Easton,51.46907,-2.56077,Private room,42,1,435,3/12/2021,4.17,3,58
1096947,"Lovely quiet, clean, cosy room, Double Bed, tv",487598,Maggie,Easton,51.46821,-2.56019,Private room,41,1,395,9/12/2021,3.8,3,58
1166104,Private room in ??Garden Square' Georgian townhouse,6386989,Anne + Iain,Clifton,51.45169,-2.62087,Private room,35,14,76,26/11/2021,0.73,2,139
1180148,"Large, luxurious and quiet room with desk",6456324,Gavin,Knowle,51.43859,-2.56536,Private room,46,2,23,30/10/2021,0.22,2,353
1182074,Kingsize bed room in Shirehampton,6466360,Rebecca,Avonmouth & Lawrence Weston,51.48503,-2.67242,Private room,35,1,18,21/11/2021,0.75,2,115
1260621,Quiet Double With Ensuite In An Old Jeweller Shop,6865698,Kirsty,Ashley,51.46465,-2.58947,Private room,40,2,232,5/12/2021,2.37,2,93
1329265,"Excellent central location, perfect for visitors",7144675,Stephanie,Lawrence Hill,51.45952,-2.57379,Private room,40,3,205,19/12/2021,2,1,42
1337681,Stylish Family Home in Amazing Location,7254449,Tamsin,Stoke Bishop,51.47366,-2.63905,Entire home/apt,600,7,17,1/9/2021,0.17,2,358
1457693,Cosy single room with breakfast,4577089,Rohan,Eastville,51.47371,-2.54602,Private room,25,20,15,15/11/2020,0.15,2,0
1524396,Woodburner - Sarah's double room.,360195,Sarah,Windmill Hill,51.43993,-2.59185,Private room,36,2,149,29/10/2021,1.48,5,23
1536968,Blanket Box - Sarah's large Room,360195,Sarah,Windmill Hill,51.44049,-2.5922,Private room,40,3,108,10/12/2019,1.38,5,51
1623879,Homestay - Single Room in Bristol,8635028,John,Henbury & Brentry,51.51255,-2.60012,Private room,22,3,154,10/12/2021,1.53,1,283
1906645,"Sunny, stylish home-great location- Free Parking",9487977,Abi,Cotham,51.46669,-2.59684,Entire home/apt,100,21,49,15/11/2021,0.75,1,0
2006472,Large Double Room Close to Centre,10328734,Patrick,Southville,51.44483,-2.60435,Private room,40,1,291,10/10/2021,3.01,1,8
2028961,Single room in quiet LGBTQ friendly home,5332833,Ashley,Eastville,51.48289,-2.55452,Private room,26,3,81,21/11/2021,0.84,2,0
2164660,Lovely light attic room,5905890,Stella,Easton,51.46988,-2.56336,Private room,30,1,199,25/9/2021,2.14,2,106
2235568,A Cool Place in Montpelier !,11413122,Tony,Ashley,51.46774,-2.58777,Private room,41,3,294,9/12/2021,3.11,3,112
2446524,A home away from home!,12510269,Namrata,Clifton,51.46097,-2.62344,Private room,35,1,17,20/10/2020,0.33,2,231
2523293,A stay in a home from home!,12510269,Namrata,Clifton,51.46098,-2.62405,Private room,32,1,125,2/10/2021,1.35,2,115
2548956,"Huge, bright, spacious double room",13019736,Jody,Southmead,51.50372,-2.59014,Private room,33,1,303,19/12/2021,5.12,2,74
2655363,Comfortable home in central Bristol,3647954,Cath,Southville,51.4463,-2.60346,Entire home/apt,80,2,9,10/8/2021,0.52,3,0
2780689,"Comfortable, light single room",5905890,Stella,Easton,51.47066,-2.56357,Private room,25,1,260,17/9/2020,2.8,2,1
2793019,Cute Quirky Flat in Prime Location,13804437,Kathleen,Ashley,51.46545,-2.58329,Entire home/apt,30,4,63,22/10/2020,0.68,1,0
2819807,Small bright room in Clifton,14425470,Nuccia,Clifton,51.45851,-2.62321,Private room,29,2,299,12/3/2020,3.24,1,5
3365141,Quiet + large ensuite double room,7588995,Olivia,Ashley,51.46816,-2.58244,Private room,50,1,353,5/12/2021,3.86,1,357
3457246,lovely single room in quiet house,17422981,Kath,Stockwood,51.41205,-2.55552,Private room,20,90,35,31/12/2020,0.39,1,138
3468287,Double-bedroom to rent near city centre,17474076,Monica,Lawrence Hill,51.46052,-2.56626,Private room,18,90,88,6/6/2021,1.15,1,314
3490531,Modern Clifton Town House,650181,Jeremy,Clifton Down,51.46692,-2.60854,Private room,48,5,19,19/11/2021,0.21,1,88
3490779,"Lovely quiet, clean room, Double Bed, tv",487598,Maggie,Easton,51.46796,-2.56088,Private room,43,1,324,29/10/2021,3.56,3,58
3635586,"Bright and airy 1-bed flat, nr Clifton & BBC",18332468,Zanna,Clifton Down,51.46653,-2.61032,Entire home/apt,99,4,85,29/11/2021,0.96,1,102
3766960,???Walk Score 78???6 Parking???Garden???King Bed???Sun Patio,19298185,Roz,Brislington West,51.43744,-2.55731,Entire home/apt,284,3,86,15/12/2021,1.14,1,219
3788534,"Light, airy single room. 10mins walk from Centre.",19228735,Jude,Southville,51.44525,-2.60523,Private room,39,2,171,22/11/2021,1.94,1,76
3879902,Tranquil Double Room near City Centre,5687726,Joanne,Lawrence Hill,51.46306,-2.57796,Private room,46,2,147,20/11/2021,1.64,2,318
3906876,Luxury Harbour Side Apartment,20235167,Robert,Hotwells & Harbourside,51.44923,-2.60908,Entire home/apt,257,7,40,31/8/2021,0.46,1,365
3960179,FABULOUS!!!,20522861,Peter,Avonmouth & Lawrence Weston,51.49699,-2.6466,Entire home/apt,149,7,1,27/4/2016,0.01,2,365
3975847,"Victorian house, room with double bed and en suite",20605126,Val,Clifton Down,51.47077,-2.61189,Private room,60,1,91,19/12/2021,1.48,2,80
4035668,Double bedroom  in Clifton overlooking the Downs,4147725,Toby,Stoke Bishop,51.46677,-2.62052,Private room,55,2,7,12/12/2021,1.39,1,0
4086139,"Beautiful room and bathroom, central location",21194896,Sue,Cotham,51.46225,-2.59804,Private room,56,2,638,13/12/2021,7.19,1,153
4249808,Georgian 1 bedroom House in Totterdown,22052738,Alicja,Windmill Hill,51.44431,-2.58133,Entire home/apt,85,2,12,6/9/2021,0.42,1,0
4315598,Amazing location  Heart of Bristol,7607380,Jerry And Jacqui,Hotwells & Harbourside,51.44695,-2.6032,Private room,75,2,333,12/12/2021,3.81,2,365
4438036,"2 beautiful double bedrooms, central Bristol",8618313,Luke & Caroline,Cotham,51.4644,-2.60411,Private room,100,1,129,12/12/2021,1.7,2,56
4454288,Beautiful large ensuite bedroom in central Bristol,8618313,Luke & Caroline,Cotham,51.46506,-2.60529,Private room,45,2,213,18/12/2021,2.47,2,56
4466441,A piece of country in the city!,9253023,Suzan,Eastville,51.47924,-2.54673,Private room,30,1,93,9/7/2021,1.09,1,79
4521395,"Tranquil studio flat, easy access central Bristol",23421319,Ian,Brislington East,51.45166,-2.54502,Entire home/apt,51,2,118,1/11/2021,1.4,1,298
4543852,Cosy Eco-Cabin with lake views,23560849,Ruby,Eastville,51.47682,-2.55623,Entire home/apt,75,1,424,15/11/2021,4.9,2,50
5027387,Franks Place,24770635,Kerry,Stoke Bishop,51.47473,-2.62571,Entire home/apt,132,2,112,19/12/2021,1.33,1,35
5039419,Comfortable two bedroom house in Bristol,7760148,Ed,Easton,51.46626,-2.55981,Entire home/apt,56,14,41,26/3/2020,0.52,1,164
5267860,"Central Bristol - A lovely, homely garden flat",27267193,Catherine,Redland,51.4697,-2.59458,Entire home/apt,70,1,165,12/12/2021,2.51,1,279
5295347,Gorgeous flat in Heart of Clifton,19389644,Jules,Clifton Down,51.45888,-2.61033,Entire home/apt,87,3,363,30/8/2021,4.4,1,130
5393069,Two bed flat Clifton+Balcony+Parkng,27954975,Johnie,Clifton Down,51.4583,-2.60922,Entire home/apt,88,2,371,2/12/2021,4.59,3,285
5496194,Sunny room in happy house,3309796,Becky & Rachel,Lawrence Hill,51.46531,-2.56697,Private room,36,2,240,12/12/2021,2.89,1,0
5503904,Comfortable Attic Room in Southville,28214217,Sarah,Southville,51.44121,-2.60879,Private room,40,2,61,10/2/2020,0.75,2,49
5566863,Family home in central Bristol,25648545,Rob,Redland,51.47278,-2.59713,Entire home/apt,120,2,14,9/8/2021,0.2,1,54
5613882,one double room,10368086,Sara,Cotham,51.47158,-2.6111,Private room,90,1,56,5/12/2021,0.84,2,88
5649344,Double room with amazing city views in family home,29271997,Katy,Knowle,51.43865,-2.57297,Private room,55,2,25,29/2/2020,0.54,1,82
5752786,Big 4 poster bedroom with shower on Gloucester Rd,29674675,Prue,Redland,51.47619,-2.59096,Private room,40,1,237,19/12/2021,2.92,2,323
5890872,"Private cosy flat, free road parking and garden",25846068,Liz And James,Windmill Hill,51.43808,-2.59473,Entire home/apt,55,2,298,10/12/2021,3.65,1,251
5984540,Victoria Park Studio,13625482,Celia,Windmill Hill,51.43848,-2.58816,Private room,39,2,272,22/10/2021,3.43,1,156
6102243,Luxury Apartment with Roof Garden & 360 City Views,14666719,Carl,Bedminster,51.43723,-2.60298,Entire home/apt,120,1,159,12/12/2021,1.98,1,14
6127021,Large Light & airy ensuite room (private bathroom),13093021,Katie,Central,51.4624,-2.60707,Private room,50,5,35,14/8/2021,0.44,3,165
6362232,Views. Sleeps 1-3. Ensuite. Kitchenette. Parking.,21295528,Helen,Southville,51.44166,-2.6081,Private room,45,2,563,30/11/2021,7.1,1,227
6376019,Double room with private lounge and bathroom,5100050,Andy,Ashley,51.46378,-2.58375,Private room,42,2,39,6/11/2021,0.49,1,259
6388411,City centre 2 dbl bedroom & garden.,2914982,Syadid,Lawrence Hill,51.45715,-2.58266,Entire home/apt,106,2,239,14/12/2021,3,1,165
6399904,Lovely Double Room in Southville,27540782,Sophia,Southville,51.4444,-2.60854,Private room,39,30,26,3/7/2021,0.33,3,203
6406525,3BD central sunny house just off Gloucester Road,13685989,Juliet,Redland,51.47295,-2.5931,Entire home/apt,250,5,18,19/9/2020,0.23,2,236
6568875,Spacious 2 bed in the heart of Bristol,21160367,Sophie,Clifton,51.45017,-2.62164,Entire home/apt,85,10,147,7/12/2021,1.84,2,254
6613273,dingle corner a delightful and spacious house,34607760,Peter,Avonmouth & Lawrence Weston,51.49545,-2.64907,Entire home/apt,151,7,7,29/10/2021,0.09,1,358
6654903,City centre double: with river views + breakfast,33952114,Mark And Corinne,Hotwells & Harbourside,51.44693,-2.60373,Private room,69,2,78,26/9/2021,2.23,2,83
6686556,Victorian 3 bedroom within easy reach of the city,6674235,Adam,Brislington West,51.43704,-2.55269,Entire home/apt,205,2,17,17/10/2021,3.19,1,293
6818070,2 DoubleBed Flat in Victorian home,29944566,Susie,Ashley,51.47004,-2.5815,Entire home/apt,114,1,64,11/12/2016,0.83,1,0
6874942,Garden Flat near Whiteladies Road with Parking,12329887,Sarah & Mark,Clifton Down,51.46635,-2.61155,Entire home/apt,83,2,406,6/12/2021,5.12,1,159
7120612,Pill Harbourside double bedroom,19909822,Alan,Avonmouth & Lawrence Weston,51.48172,-2.68321,Private room,38,2,14,29/4/2019,0.18,1,0
7126385,Lovely double room in family home,13093021,Katie,Central,51.46088,-2.6071,Private room,43,5,36,17/12/2021,0.52,3,148
7141508,A Unique Bristol Harbour Apartment With Parking!,37400137,Angela,Hotwells & Harbourside,51.45034,-2.60618,Entire home/apt,126,4,101,19/12/2021,1.29,1,169
7159559,1 bed apartment - Central Bristol,37494463,Scarlett,Lawrence Hill,51.45663,-2.58261,Entire home/apt,65,1,357,8/12/2021,4.64,1,321
7333434,Charming and Light Victorian House,37134676,Sally,St George West,51.4604,-2.55036,Entire home/apt,84,2,171,28/11/2021,2.19,1,28
7366399,Stunning large Victorian house by park,14410812,Peter,Ashley,51.47314,-2.5868,Entire home/apt,190,5,13,29/8/2021,0.17,2,207
7591680,"Calm and lovely, near city centre",15930299,Simon,Cotham,51.4637,-2.59529,Private room,30,7,13,12/6/2021,0.17,1,115
7592135,Clifton Stylish 1 Bed & Parkng,35535415,Sally,Clifton,51.45221,-2.6173,Entire home/apt,121,2,53,30/11/2021,0.68,1,345
7677840,"Attic room, spectacular views, nr centre, b.fast",9435176,Cecilia,Ashley,51.46796,-2.58824,Private room,30,1,173,27/9/2020,2.23,1,85
7784124,Coach House in Clifton Village,40952905,Cathy,Clifton,51.45761,-2.61821,Entire home/apt,71,7,99,1/12/2021,1.28,1,259
7824532,"Twin/super king  bedroom, Shirehampton, Bristol",6466360,Rebecca,Avonmouth & Lawrence Weston,51.48589,-2.67212,Private room,35,1,33,28/11/2021,1.91,2,176
7883245,Double room in excellent Clifton location,37533889,Sarah,Clifton Down,51.45745,-2.60951,Private room,50,2,74,14/12/2021,0.96,2,171
7900542,Spacious room in Victorian house,40009065,Lin & Jim,Bishopston & Ashley Down,51.47926,-2.58416,Private room,49,1,199,19/12/2021,2.59,2,76
7909436,Bristol self-catering studio+kitchen+parking,11877178,Jaya,Knowle,51.43094,-2.56538,Entire home/apt,60,2,363,21/11/2021,4.79,1,333
8025707,Quiet en-suite Attic Room with blackout blinds,40009065,Lin & Jim,Bishopston & Ashley Down,51.48012,-2.585,Private room,42,1,210,14/12/2021,2.74,2,150
8030276,Comfortable Double Whitehall BS5,30423666,Maureen,Easton,51.46166,-2.5603,Private room,35,1,37,19/11/2017,0.48,1,172
8097937,"Lovely, sunny, double room",18833150,Andrew,Redland,51.47828,-2.59379,Private room,35,1,383,15/3/2020,5.01,1,0
8142384,Charming loft room with own shower,41369557,Jonathan,Ashley,51.46985,-2.58821,Private room,45,2,1,5/9/2015,0.01,1,341
8161251,A lovely kingsize room in Horfield,39471780,Daniel  & Jess,Horfield,51.49404,-2.57874,Private room,38,1,102,5/12/2021,1.34,1,269
8529713,"Stunning House, Amazing Views, Kid Friendly",7862664,James,Ashley,51.46905,-2.5859,Entire home/apt,120,3,15,15/8/2021,0.2,1,205
8544115,South Bristol - Bright Loft Space,44979965,Chris,Bedminster,51.43263,-2.62532,Private room,46,1,172,17/11/2019,2.27,2,115
8561053,Self contained studio apartment,45057972,Guy And Bliss,Eastville,51.47757,-2.54138,Entire home/apt,51,2,190,15/12/2021,2.52,2,316
8578293,"City View, Woodburner or Blanket Box room.",360195,Sarah,Windmill Hill,51.44024,-2.59174,Private room,36,1,64,11/12/2021,0.84,5,23
8776062,"Single, warm, cosy, inviting bedroom",46005110,Liza,Brislington East,51.45298,-2.54437,Private room,30,4,24,30/11/2021,0.34,1,329
8853045,"Bright, clean double room, central in vibrant area",46354944,Julie,Bedminster,51.43769,-2.61332,Private room,40,1,176,12/11/2021,2.45,1,0
8862690,Garden View Double Room in Southville,27540782,Sophia,Southville,51.44463,-2.60799,Private room,38,3,9,18/10/2018,0.14,3,86
8967035,Cosy apartment close to city centre,46861775,Kath And Hamish,Knowle,51.43207,-2.56314,Entire home/apt,50,2,138,29/11/2021,1.85,1,209
8967044,Quirky family home with view and large garden.,45271036,Clare,Eastville,51.47761,-2.55623,Entire home/apt,200,2,33,14/11/2021,0.45,1,137
8998759,5 bed house in central east Bristol BS5,47000633,Becka,Easton,51.45837,-2.55906,Entire home/apt,135,5,33,28/11/2021,0.55,2,23
9345415,Relaxing room in Easton,43412115,Paul,Easton,51.46584,-2.56236,Private room,27,1,97,10/12/2019,1.3,1,87
9389393,Spacious ensuite loft room with views,7537771,Pommy,Eastville,51.47598,-2.54762,Private room,58,1,71,30/8/2021,1.06,2,10
9399571,Holiday House in Clifton Bristol UK,48697404,Joanna,Clifton Down,51.4674,-2.61295,Entire home/apt,157,2,109,3/1/2021,1.5,1,301
9408981,"Double loft room, Bristol",48788064,Sheila,Westbury-on-Trym & Henleaze,51.4929,-2.61328,Private room,38,1,254,18/12/2021,3.42,2,338
9521652,"Studio,  Old City Centre",27954975,Johnie,Central,51.4544,-2.59404,Entire home/apt,66,2,276,1/12/2021,3.83,3,332
9559959,Cosy courtyard studio near Bristol Harbourside,43800815,Olivia,Southville,51.44177,-2.59967,Entire home/apt,69,1,478,5/12/2021,8.51,3,131
9598461,Welsh Back ?? In the Bristol's heart,34880118,Giuseppe,Central,51.45141,-2.59257,Private room,47,90,4,17/6/2018,0.06,1,274
9703291,Private Room near Temple Meads,23713368,Harry,Lawrence Hill,51.45393,-2.57775,Private room,48,2,49,23/7/2018,0.86,1,326
9751748,"Second Double Loft, Bristol.",48788064,Sheila,Westbury-on-Trym & Henleaze,51.49518,-2.61122,Private room,36,1,7,5/12/2021,0.1,2,327
9899518,"Guest suite. Double bed, free parking, nr. Clifton",130292748,Margaret,Stoke Bishop,51.47149,-2.63838,Entire home/apt,65,2,113,30/11/2021,1.55,1,28
9905613,Super Comfortable Double Bedroom in Redland,19047046,Maria,Cotham,51.46908,-2.6081,Private room,50,1,103,14/11/2021,2.57,1,141
9994005,"Amazing Bedsit off Glouc Rd, breakfast & bathroom.",18847816,Alison,Bishopston & Ashley Down,51.48624,-2.58871,Private room,57,2,98,9/12/2021,1.37,3,171
10084839,Beautiful victorian family house - free parking,17045922,Martin,Ashley,51.47397,-2.58652,Entire home/apt,383,10,23,28/8/2021,0.35,1,81
10261054,"Beautiful, period flat in Clifton",15191883,Pablo,Clifton,51.45487,-2.61374,Entire home/apt,91,7,45,16/10/2021,0.66,1,117
10267156,"Cosy Single room nr Gloucester Rd, share bathroom.",18847816,Alison,Bishopston & Ashley Down,51.48522,-2.58819,Private room,40,2,77,6/12/2021,1.08,3,356
10273706,Single/Dbl room 15 mins walk to Southmead Hospital,32885609,Jill,Southmead,51.50037,-2.60615,Private room,30,1,80,29/11/2021,1.13,1,114
10338400,Lovely 2 Double Bedroom Garden Flat,53204091,Jo,Cotham,51.46919,-2.60552,Entire home/apt,200,3,118,13/12/2021,1.63,1,24
10576200,Stylish apartment with the best view in Bristol,54559330,Sam,Ashley,51.47166,-2.58064,Entire home/apt,195,10,47,8/11/2021,1.35,1,218
10604670,Bristol Serviced Lettings 1 bed No 15,47825852,Robert,Lawrence Hill,51.46004,-2.5728,Entire home/apt,96,2,13,5/12/2021,0.18,3,363
10604998,Bristol Serviced Lettings 1 bed No 6,47825852,Robert,Lawrence Hill,51.46111,-2.57282,Entire home/apt,96,2,3,17/4/2021,0.12,3,337
10605969,Bristol Serviced Lettings 2 Bedroom Double/Twin,47825852,Robert,Lawrence Hill,51.46078,-2.5748,Entire home/apt,139,2,6,28/11/2021,0.09,3,359
10670402,Studio apartment over detached double garage.,52557181,David,Avonmouth & Lawrence Weston,51.49493,-2.63919,Entire home/apt,63,2,35,5/4/2020,0.52,1,0
10671535,"Quiet, sunny room with stunning views in Clifton",3671116,Julia,Hotwells & Harbourside,51.44963,-2.61464,Private room,40,1,234,11/3/2020,3.48,1,51
11086498,Totterdown double room near Temple Mead's Station,7852250,Tim,Windmill Hill,51.44431,-2.58044,Private room,63,2,73,5/12/2021,1.03,2,339
11129281,Home from Home Spacious Sunny Flat,3628003,Miltos,Redland,51.47588,-2.60838,Entire home/apt,120,1,95,12/12/2021,1.34,1,87
11255331,4th floor contemporary apartment,58731668,Briony,Central,51.46104,-2.60168,Entire home/apt,75,2,106,25/11/2021,1.53,1,245
11264516,Clifton - Georgian townhouse for up to 9 guests,6386989,Anne + Iain,Clifton,51.45139,-2.62042,Entire home/apt,425,3,26,27/12/2019,0.39,2,41
11311871,"Entire garden flat, Clifton",20787677,Candia,Clifton,51.45319,-2.61554,Entire home/apt,110,4,175,15/12/2021,2.48,1,147
11395576,Double bedroom with ensuite bath,33801004,Jessica,Bedminster,51.44094,-2.60298,Private room,35,100,29,13/4/2017,0.41,1,158
11417033,Large boutique flat with park views and garden,35362588,Jason,Brislington West,51.43967,-2.55992,Entire home/apt,50,1,313,19/1/2021,4.41,1,198
11451676,Bohemian Georgian Luxury in Centre,18414383,Jess,Hotwells & Harbourside,51.45382,-2.60406,Private room,61,4,33,29/6/2018,0.47,2,0
11515357,Cottage in Clifton Village,14130227,Anita,Clifton,51.45452,-2.62392,Entire home/apt,163,3,116,7/12/2021,1.69,1,89
11518739,"Clifton,small room in Coach house, free parking.",58067723,Nicki,Clifton,51.45798,-2.62536,Private room,46,1,85,12/12/2021,1.21,1,0
11529140,Spacious room in Southville,60676521,Sharon,Southville,51.44268,-2.60575,Private room,44,3,203,17/12/2021,2.89,2,262
11545539,"Gold Room. Compact Double, kitchenette & Desk.",31999039,Anita,Easton,51.46799,-2.56606,Private room,51,1,23,13/12/2021,0.33,4,365
11620357,Stunning apartment in great location,61538404,Lindon,Cotham,51.46514,-2.60184,Entire home/apt,148,4,44,22/11/2021,0.75,2,349
11655698,"Rear Garden View, Large Bedroom with King Size Bed",53473700,Jon,Brislington West,51.43775,-2.55833,Private room,34,4,41,4/9/2019,0.59,1,250
11676391,"Rustic, light and spacious double room in Easton",29264344,Sarah,Easton,51.46346,-2.562,Private room,31,2,22,28/2/2020,0.64,4,25
11676688,Large light and homely master bedroom in Easton,29264344,Sarah,Lawrence Hill,51.46229,-2.56372,Private room,29,2,34,24/3/2020,0.48,4,24
11720290,Cosy large light double room in Easton,29264344,Sarah,Easton,51.46389,-2.56261,Private room,29,2,51,16/3/2020,0.73,4,24
11786464,Blue Room. Spacious Double Room with Garden View.,31999039,Anita,Easton,51.46962,-2.56587,Private room,56,1,38,8/9/2019,0.55,4,361
11864632,Comfortable and Clean Flat - Great Location,10680012,Cath,Ashley,51.47115,-2.59157,Entire home/apt,94,1,654,18/12/2021,9.66,1,337
11870221,Beautiful Georgian apartment in Clifton village,63283559,Joanna,Clifton,51.45392,-2.62261,Entire home/apt,164,4,44,5/9/2021,0.67,1,1
12100361,Sophie & Dan's place,45263904,Sophie,St George West,51.4592,-2.54942,Entire home/apt,27,10,20,7/12/2021,0.29,1,114
12124943,"Southville, Bristol - beautiful double room",60676521,Sharon,Southville,51.44429,-2.60625,Private room,45,4,155,9/12/2021,2.34,2,355
12162237,Beautiful room at a perfect location in Clifton,40318076,Nectaria,Clifton,51.45649,-2.61418,Private room,50,1,0,,,1,0
12187361,2 Bedroom House 10 mins from the centre. St Judes,65499435,Brett,Lawrence Hill,51.45941,-2.57554,Entire home/apt,111,1,397,4/12/2021,5.71,2,323
12247664,Large double room in prime location,14410812,Peter,Bishopston & Ashley Down,51.475,-2.58646,Private room,33,1,2,28/4/2016,0.03,2,0
12343517,"1 Bed Apartment, Free Parking, Near Clifton",3234189,Conrad,Stoke Bishop,51.4745,-2.6375,Entire home/apt,66,3,25,11/3/2019,0.36,1,16
12818529,Room  with comfortable sofa-bed in friendly  home,9266236,Catherine,Bishopston & Ashley Down,51.48478,-2.58968,Private room,30,2,9,27/10/2019,0.22,1,59
12828793,Two double rooms with kitchenette in Totterdown,18879799,Katherine & Suresh,Windmill Hill,51.44042,-2.57154,Entire home/apt,91,1,268,5/12/2021,3.9,2,84
12987193,5* Hotel Quality Living - 10mins from City,65463753,Kiron,Henbury & Brentry,51.50531,-2.61259,Entire home/apt,843,1,102,28/11/2021,1.51,3,134
12999409,Double Room 2.,57242974,John,Eastville,51.4748,-2.55877,Private room,23,5,39,21/6/2021,0.57,5,0
12999430,Red Room. Huge Double Bedroom & Sofa. Street View.,31999039,Anita,Easton,51.46814,-2.56576,Private room,58,1,58,28/10/2019,0.85,4,361
13086182,Vintage Style room in Bristol city centre (33),54503007,Patrick,Central,51.45486,-2.59284,Private room,73,1,165,10/12/2021,3.97,7,331
13119191,A Sunny Room In Montpelier,11413122,Tony,Ashley,51.46714,-2.58716,Private room,39,4,94,2/12/2021,1.41,3,71
13133203,modern gem,20522861,Peter,Avonmouth & Lawrence Weston,51.49722,-2.64567,Entire home/apt,249,7,0,,,2,365
13230383,5* Reviews Large Stunning House *Friends &Families,66549798,Hannah,Ashley,51.47476,-2.58334,Entire home/apt,443,1,177,23/12/2021,2.61,2,117
13237892,Double room with kitchenette & shower (Totterdown),18879799,Katherine & Suresh,Windmill Hill,51.44037,-2.5715,Entire home/apt,81,1,265,21/11/2021,3.91,2,84
13269461,Newly decorated annex with garden view,54046046,Jilly,Bishopston & Ashley Down,51.48457,-2.59501,Entire home/apt,50,2,173,7/11/2021,2.76,1,117
13290486,Sunny & bright 1 bed flat in colourful Totterdown,74990295,Mark,Windmill Hill,51.44231,-2.58228,Entire home/apt,68,5,233,4/12/2021,3.46,1,254
13294974,"Lovely sunny, double room with on-street parking",57939827,Charlie,Brislington West,51.44105,-2.5529,Private room,25,2,81,29/11/2021,1.27,1,82
13360791,Modern Stylish Apartment in the Heart of Clifton,33767623,Tom,Clifton,51.45635,-2.61776,Entire home/apt,104,2,275,21/12/2021,4.26,1,0
13476552,2 lovely double rooms in quiet home,77046591,Lucia,Avonmouth & Lawrence Weston,51.49505,-2.65498,Private room,65,2,46,30/8/2021,0.69,3,253
13500079,Lovely double room in quiet house,77046591,Lucia,Avonmouth & Lawrence Weston,51.49951,-2.65259,Private room,39,1,5,21/7/2019,0.08,3,84
13573568,Beautiful house full of character,65252235,Jodie,Easton,51.45876,-2.55678,Entire home/apt,250,1,37,24/2/2019,0.56,2,37
13574823,Gorgeous double room,65252235,Jodie,Easton,51.457,-2.55756,Private room,28,2,113,10/12/2021,1.68,2,0
